City,Population,Violent Crime,Murder and Non-Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft
New York,8289415,7.712,0.062,0.169,2.940,4.542,20.776,2.712,16.872,1.192
Los Angeles,3855122,12.480,0.202,0.630,6.044,5.606,58.859,11.027,37.685,10.150
Chicago,2708382,#VALUE!,0.683,#VALUE!,18.373,16.730,153.320,31.011,99.133,23.176
Houston,2177273,45.585,0.459,1.401,19.795,23.929,227.142,56.176,143.400,27.571
Philadelphia,1538957,75.382,1.397,3.717,33.711,36.557,240.656,50.684,162.948,27.025
Phoenix,1485509,42.861,0.559,2.518,15.934,23.850,275.414,81.171,161.675,32.568
Las Vegas,1479393,52.995,0.345,2.724,17.473,32.452,212.128,64.973,116.615,30.546
San Antonio,1380123,36.453,0.464,2.884,9.789,23.317,434.012,82.261,318.327,33.425
San Diego,1338477,30.863,0.261,1.696,8.465,20.434,176.947,32.940,107.107,36.893
Dallas,1241549,54.368,0.999,3.149,26.556,23.656,352.270,104.386,202.070,45.814
San Jose,976459,37.206,0.471,2.939,12.668,21.127,298.517,54.605,152.060,91.863
Indianapolis,838650,141.358,1.383,6.200,48.936,84.839,666.798,210.052,391.355,65.391
Austin,832901,49.081,0.444,3.014,14.095,31.528,626.641,104.418,488.858,33.365
San Francisco,820363,85.840,1.024,1.609,51.770,31.437,577.988,79.002,419.643,79.331
Detroit,707096,300.228,7.722,8.896,96.861,186.820,819.139,269.765,319.377,230.011
Louisville Metro,666200,89.883,1.396,4.128,31.402,52.942,644.536,157.896,437.361,49.279
Memphis,657436,266.231,3.073,9.720,78.243,175.181,960.230,290.933,600.591,68.691
Washington,632323,186.281,2.198,5.899,93.164,85.004,731.904,88.009,555.128,88.768
Boston,630648,132.403,1.427,6.263,48.030,76.683,461.351,83.597,336.923,40.831
Denver,628545,97.988,0.986,9.514,29.481,57.991,590.857,129.824,368.136,92.897
Seattle,626865,95.332,0.590,3.031,36.164,55.546,812.583,166.001,556.085,90.498
Baltimore,625474,224.662,5.580,8.058,92.154,118.886,745.083,198.617,444.687,101.779
Portland,598037,86.483,0.552,6.454,26.570,52.906,851.502,125.009,626.266,100.245
Oklahoma City,595607,154.313,2.401,10.964,34.083,106.866,997.604,277.767,596.534,123.303
